model,dataset,layers,step,perplexity,log_file
alibi,babylm_100m,2-layer,168820736,161.977,alibi_2_4_256_babylm_100m.log
alibi,babylm_100m,2-layer,337641472,41.023,alibi_2_4_256_babylm_100m.log
alibi,babylm_100m,2-layer,506462208,35.146,alibi_2_4_256_babylm_100m.log
alibi,babylm_100m,2-layer,675282944,32.596,alibi_2_4_256_babylm_100m.log
alibi,babylm_100m,2-layer,844103680,31.046,alibi_2_4_256_babylm_100m.log
alibi,babylm_100m,2-layer,1012924416,29.883,alibi_2_4_256_babylm_100m.log
alibi,babylm_100m,2-layer,1181745152,28.953,alibi_2_4_256_babylm_100m.log
alibi,babylm_100m,2-layer,1350565888,28.23,alibi_2_4_256_babylm_100m.log
alibi,babylm_100m,2-layer,1519386624,27.705,alibi_2_4_256_babylm_100m.log
alibi,babylm_100m,2-layer,1688207360,27.447,alibi_2_4_256_babylm_100m.log
alibi,babylm_10m,2-layer,16777216,1461.67,alibi_2_4_256_babylm_10m.log
alibi,babylm_10m,2-layer,33554432,126.916,alibi_2_4_256_babylm_10m.log
alibi,babylm_10m,2-layer,50331648,75.185,alibi_2_4_256_babylm_10m.log
alibi,babylm_10m,2-layer,67108864,58.642,alibi_2_4_256_babylm_10m.log
alibi,babylm_10m,2-layer,83886080,50.641,alibi_2_4_256_babylm_10m.log
alibi,babylm_10m,2-layer,100663296,45.966,alibi_2_4_256_babylm_10m.log
alibi,babylm_10m,2-layer,117440512,43.023,alibi_2_4_256_babylm_10m.log
alibi,babylm_10m,2-layer,134217728,41.321,alibi_2_4_256_babylm_10m.log
alibi,babylm_10m,2-layer,150994944,40.446,alibi_2_4_256_babylm_10m.log
alibi,babylm_10m,2-layer,167772160,40.135,alibi_2_4_256_babylm_10m.log
alibi,pile,2-layer,167772160,2529.057,alibi_2_4_256_pile.log
alibi,pile,2-layer,335544320,624.285,alibi_2_4_256_pile.log
alibi,pile,2-layer,503316480,407.632,alibi_2_4_256_pile.log
alibi,pile,2-layer,671088640,328.714,alibi_2_4_256_pile.log
alibi,pile,2-layer,838860800,282.362,alibi_2_4_256_pile.log
alibi,pile,2-layer,1006632960,255.584,alibi_2_4_256_pile.log
alibi,pile,2-layer,1174405120,236.418,alibi_2_4_256_pile.log
alibi,pile,2-layer,1342177280,225.496,alibi_2_4_256_pile.log
alibi,pile,2-layer,1509949440,220.674,alibi_2_4_256_pile.log
alibi,pile,2-layer,1677721600,218.753,alibi_2_4_256_pile.log
alibi,babylm_100m,4-layer,168820736,108.872,alibi_4_6_384_babylm_100m.log
alibi,babylm_100m,4-layer,337641472,26.088,alibi_4_6_384_babylm_100m.log
alibi,babylm_100m,4-layer,506462208,20.045,alibi_4_6_384_babylm_100m.log
alibi,babylm_100m,4-layer,675282944,17.454,alibi_4_6_384_babylm_100m.log
alibi,babylm_100m,4-layer,844103680,15.839,alibi_4_6_384_babylm_100m.log
alibi,babylm_100m,4-layer,1012924416,14.844,alibi_4_6_384_babylm_100m.log
alibi,babylm_100m,4-layer,1181745152,14.202,alibi_4_6_384_babylm_100m.log
alibi,babylm_100m,4-layer,1350565888,13.78,alibi_4_6_384_babylm_100m.log
alibi,babylm_100m,4-layer,1519386624,13.519,alibi_4_6_384_babylm_100m.log
alibi,babylm_100m,4-layer,1688207360,13.389,alibi_4_6_384_babylm_100m.log
alibi,babylm_10m,4-layer,16777216,831.134,alibi_4_6_384_babylm_10m.log
alibi,babylm_10m,4-layer,33554432,101.402,alibi_4_6_384_babylm_10m.log
alibi,babylm_10m,4-layer,50331648,58.788,alibi_4_6_384_babylm_10m.log
alibi,babylm_10m,4-layer,67108864,44.05,alibi_4_6_384_babylm_10m.log
alibi,babylm_10m,4-layer,83886080,36.657,alibi_4_6_384_babylm_10m.log
alibi,babylm_10m,4-layer,100663296,32.323,alibi_4_6_384_babylm_10m.log
alibi,babylm_10m,4-layer,117440512,29.655,alibi_4_6_384_babylm_10m.log
alibi,babylm_10m,4-layer,134217728,28.073,alibi_4_6_384_babylm_10m.log
alibi,babylm_10m,4-layer,150994944,27.246,alibi_4_6_384_babylm_10m.log
alibi,babylm_10m,4-layer,167772160,26.931,alibi_4_6_384_babylm_10m.log
alibi,pile,4-layer,167772160,1508.599,alibi_4_6_384_pile.log
alibi,pile,4-layer,335544320,265.974,alibi_4_6_384_pile.log
alibi,pile,4-layer,503316480,152.944,alibi_4_6_384_pile.log
alibi,pile,4-layer,671088640,112.517,alibi_4_6_384_pile.log
alibi,pile,4-layer,838860800,89.266,alibi_4_6_384_pile.log
alibi,pile,4-layer,1006632960,72.008,alibi_4_6_384_pile.log
alibi,pile,4-layer,1174405120,61.256,alibi_4_6_384_pile.log
alibi,pile,4-layer,1342177280,56.746,alibi_4_6_384_pile.log
alibi,pile,4-layer,1509949440,54.504,alibi_4_6_384_pile.log
alibi,pile,4-layer,1677721600,53.578,alibi_4_6_384_pile.log
dynamic_alibi,babylm_100m,2-layer,168820736,161.624,dynamic_alibi_2_4_256_babylm_100m.log
dynamic_alibi,babylm_100m,2-layer,337641472,40.555,dynamic_alibi_2_4_256_babylm_100m.log
dynamic_alibi,babylm_100m,2-layer,506462208,34.223,dynamic_alibi_2_4_256_babylm_100m.log
dynamic_alibi,babylm_100m,2-layer,675282944,31.231,dynamic_alibi_2_4_256_babylm_100m.log
dynamic_alibi,babylm_100m,2-layer,844103680,29.278,dynamic_alibi_2_4_256_babylm_100m.log
dynamic_alibi,babylm_100m,2-layer,1012924416,27.898,dynamic_alibi_2_4_256_babylm_100m.log
dynamic_alibi,babylm_100m,2-layer,1181745152,26.847,dynamic_alibi_2_4_256_babylm_100m.log
dynamic_alibi,babylm_100m,2-layer,1350565888,26.137,dynamic_alibi_2_4_256_babylm_100m.log
dynamic_alibi,babylm_100m,2-layer,1519386624,25.691,dynamic_alibi_2_4_256_babylm_100m.log
dynamic_alibi,babylm_100m,2-layer,1688207360,25.507,dynamic_alibi_2_4_256_babylm_100m.log
dynamic_alibi,babylm_10m,2-layer,16777216,1461.992,dynamic_alibi_2_4_256_babylm_10m.log
dynamic_alibi,babylm_10m,2-layer,33554432,126.482,dynamic_alibi_2_4_256_babylm_10m.log
dynamic_alibi,babylm_10m,2-layer,50331648,74.377,dynamic_alibi_2_4_256_babylm_10m.log
dynamic_alibi,babylm_10m,2-layer,67108864,57.419,dynamic_alibi_2_4_256_babylm_10m.log
dynamic_alibi,babylm_10m,2-layer,83886080,49.161,dynamic_alibi_2_4_256_babylm_10m.log
dynamic_alibi,babylm_10m,2-layer,100663296,44.429,dynamic_alibi_2_4_256_babylm_10m.log
dynamic_alibi,babylm_10m,2-layer,117440512,41.393,dynamic_alibi_2_4_256_babylm_10m.log
dynamic_alibi,babylm_10m,2-layer,134217728,39.662,dynamic_alibi_2_4_256_babylm_10m.log
dynamic_alibi,babylm_10m,2-layer,150994944,38.774,dynamic_alibi_2_4_256_babylm_10m.log
dynamic_alibi,babylm_10m,2-layer,167772160,38.457,dynamic_alibi_2_4_256_babylm_10m.log
dynamic_alibi,pile,2-layer,167772160,2528.849,dynamic_alibi_2_4_256_pile.log
dynamic_alibi,pile,2-layer,335544320,621.966,dynamic_alibi_2_4_256_pile.log
dynamic_alibi,pile,2-layer,503316480,406.039,dynamic_alibi_2_4_256_pile.log
dynamic_alibi,pile,2-layer,671088640,327.78,dynamic_alibi_2_4_256_pile.log
dynamic_alibi,pile,2-layer,838860800,281.261,dynamic_alibi_2_4_256_pile.log
dynamic_alibi,pile,2-layer,1006632960,254.548,dynamic_alibi_2_4_256_pile.log
dynamic_alibi,pile,2-layer,1174405120,235.48,dynamic_alibi_2_4_256_pile.log
dynamic_alibi,pile,2-layer,1342177280,224.715,dynamic_alibi_2_4_256_pile.log
dynamic_alibi,pile,2-layer,1509949440,219.969,dynamic_alibi_2_4_256_pile.log
dynamic_alibi,pile,2-layer,1677721600,218.068,dynamic_alibi_2_4_256_pile.log
dynamic_alibi,babylm_100m,4-layer,168820736,108.872,dynamic_alibi_4_6_384_babylm_100m.log
dynamic_alibi,babylm_100m,4-layer,337641472,26.302,dynamic_alibi_4_6_384_babylm_100m.log
dynamic_alibi,babylm_100m,4-layer,506462208,20.416,dynamic_alibi_4_6_384_babylm_100m.log
dynamic_alibi,babylm_100m,4-layer,675282944,18.147,dynamic_alibi_4_6_384_babylm_100m.log
dynamic_alibi,babylm_100m,4-layer,844103680,17.049,dynamic_alibi_4_6_384_babylm_100m.log
dynamic_alibi,babylm_100m,4-layer,1012924416,16.534,dynamic_alibi_4_6_384_babylm_100m.log
dynamic_alibi,babylm_100m,4-layer,1181745152,16.26,dynamic_alibi_4_6_384_babylm_100m.log
dynamic_alibi,babylm_100m,4-layer,1350565888,16.167,dynamic_alibi_4_6_384_babylm_100m.log
dynamic_alibi,babylm_100m,4-layer,1519386624,16.266,dynamic_alibi_4_6_384_babylm_100m.log
dynamic_alibi,babylm_100m,4-layer,1688207360,16.617,dynamic_alibi_4_6_384_babylm_100m.log
dynamic_alibi,babylm_10m,4-layer,16777216,831.182,dynamic_alibi_4_6_384_babylm_10m.log
dynamic_alibi,babylm_10m,4-layer,33554432,104.2,dynamic_alibi_4_6_384_babylm_10m.log
dynamic_alibi,babylm_10m,4-layer,50331648,61.292,dynamic_alibi_4_6_384_babylm_10m.log
dynamic_alibi,babylm_10m,4-layer,67108864,47.936,dynamic_alibi_4_6_384_babylm_10m.log
dynamic_alibi,babylm_10m,4-layer,83886080,40.964,dynamic_alibi_4_6_384_babylm_10m.log
dynamic_alibi,babylm_10m,4-layer,100663296,36.985,dynamic_alibi_4_6_384_babylm_10m.log
dynamic_alibi,babylm_10m,4-layer,117440512,35.359,dynamic_alibi_4_6_384_babylm_10m.log
dynamic_alibi,babylm_10m,4-layer,134217728,34.34,dynamic_alibi_4_6_384_babylm_10m.log
dynamic_alibi,babylm_10m,4-layer,150994944,34.149,dynamic_alibi_4_6_384_babylm_10m.log
dynamic_alibi,babylm_10m,4-layer,167772160,34.439,dynamic_alibi_4_6_384_babylm_10m.log
dynamic_alibi,pile,4-layer,167772160,1509.006,dynamic_alibi_4_6_384_pile.log
dynamic_alibi,pile,4-layer,335544320,269.108,dynamic_alibi_4_6_384_pile.log
dynamic_alibi,pile,4-layer,503316480,154.047,dynamic_alibi_4_6_384_pile.log
